,0,1,2,3
1762395,2622339,WV3 7BU,52.572990000000000,-2.149937000000000
1762396,2622340,WV6 0QD,52.600471000000000,-2.143993000000000
1762397,2622341,WV7 3LY,52.633298000000000,-2.269414000000000
