,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
24113027,{80E1AA97-BA50-7BF8-E053-6C04A8C00BF2},390000,2019-01-11 00:00,HP15 6YB,S,N,F,44,,WINTERS WAY,HOLMER GREEN,HIGH WYCOMBE,CHILTERN,BUCKINGHAMSHIRE,A,A
24113028,{80E1AA97-BA51-7BF8-E053-6C04A8C00BF2},273000,2019-01-07 00:00,MK6 3HY,D,N,F,102,,SPRINGFIELD BOULEVARD,SPRINGFIELD,MILTON KEYNES,MILTON KEYNES,MILTON KEYNES,A,A
24113029,{80E1AA97-BA53-7BF8-E053-6C04A8C00BF2},1200000,2019-01-14 00:00,RG9 6PP,D,N,F,REDAWAYS,,HAYLES FIELD,FRIETH,HENLEY-ON-THAMES,WYCOMBE,BUCKINGHAMSHIRE,A,A
24113030,{80E1AA97-BA56-7BF8-E053-6C04A8C00BF2},174000,2019-01-08 00:00,MK14 6AZ,S,N,F,28,,KENTS ROAD,STANTONBURY,MILTON KEYNES,MILTON KEYNES,MILTON KEYNES,A,A
24113031,{80E1AA97-BA57-7BF8-E053-6C04A8C00BF2},395000,2019-01-18 00:00,HP21 7HJ,S,N,F,45,,NORTHUMBERLAND AVENUE,,AYLESBURY,AYLESBURY VALE,BUCKINGHAMSHIRE,A,A
24113032,{80E1AA97-BA58-7BF8-E053-6C04A8C00BF2},378000,2019-01-14 00:00,HP5 1SL,T,N,F,29,,WOODLEY HILL,,CHESHAM,CHILTERN,BUCKINGHAMSHIRE,A,A
24113033,{80E1AA97-BA5E-7BF8-E053-6C04A8C00BF2},285000,2019-01-04 00:00,MK13 9DX,S,N,F,22,,CRADDOCKS CLOSE,BRADWELL,MILTON KEYNES,MILTON KEYNES,MILTON KEYNES,A,A
24113034,{80E1AA97-BA62-7BF8-E053-6C04A8C00BF2},240000,2019-01-04 00:00,HP20 1DU,T,N,F,87,,PARK STREET,,AYLESBURY,AYLESBURY VALE,BUCKINGHAMSHIRE,A,A
24113035,{80E1AA97-BA63-7BF8-E053-6C04A8C00BF2},970000,2019-01-03 00:00,SL9 7HR,D,N,F,7,,HOWARDS WOOD DRIVE,,GERRARDS CROSS,SOUTH BUCKS,BUCKINGHAMSHIRE,A,A
24113036,{80E1AA97-BA66-7BF8-E053-6C04A8C00BF2},695000,2019-01-11 00:00,SL9 9NW,D,N,F,15,,LOVEL ROAD,CHALFONT ST PETER,GERRARDS CROSS,CHILTERN,BUCKINGHAMSHIRE,A,A
24113037,{80E1AA97-BA69-7BF8-E053-6C04A8C00BF2},495000,2019-01-11 00:00,HP21 9XE,D,N,F,39,,DALESFORD ROAD,,AYLESBURY,AYLESBURY VALE,BUCKINGHAMSHIRE,A,A
24113038,{80E1AA97-BA6C-7BF8-E053-6C04A8C00BF2},127500,2019-01-11 00:00,MK6 3ED,S,N,L,20,,TROUTBECK,PEARTREE BRIDGE,MILTON KEYNES,MILTON KEYNES,MILTON KEYNES,A,A
24113039,{80E1AA97-BA6D-7BF8-E053-6C04A8C00BF2},244000,2019-01-16 00:00,HP20 2AJ,T,N,F,13,,CONISTON GREEN,,AYLESBURY,AYLESBURY VALE,BUCKINGHAMSHIRE,A,A
24113040,{80E1AA97-BA70-7BF8-E053-6C04A8C00BF2},215000,2019-01-11 00:00,MK14 5JW,S,N,F,54,,BESSEMER COURT,BLAKELANDS,MILTON KEYNES,MILTON KEYNES,MILTON KEYNES,A,A
24113041,{80E1AA97-BA72-7BF8-E053-6C04A8C00BF2},323000,2019-01-18 00:00,MK18 2AT,S,N,F,37,,SPRINGFIELDS,PADBURY,BUCKINGHAM,AYLESBURY VALE,BUCKINGHAMSHIRE,A,A
24113042,{80E1AA97-BA73-7BF8-E053-6C04A8C00BF2},290000,2019-01-14 00:00,HP13 7LG,S,N,F,24,,HILLSIDE,,HIGH WYCOMBE,WYCOMBE,BUCKINGHAMSHIRE,A,A
24113043,{80E1AA97-BA76-7BF8-E053-6C04A8C00BF2},315000,2019-01-04 00:00,MK8 9BX,T,N,F,2,,ATTINGHAM HILL,GREAT HOLM,MILTON KEYNES,MILTON KEYNES,MILTON KEYNES,A,A
24113044,{80E1AA97-BA77-7BF8-E053-6C04A8C00BF2},234500,2019-01-07 00:00,MK13 8AH,T,N,L,5,,WANDSWORTH PLACE,BRADWELL COMMON,MILTON KEYNES,MILTON KEYNES,MILTON KEYNES,B,A
24113045,{80E1AA97-BA7C-7BF8-E053-6C04A8C00BF2},210000,2019-01-18 00:00,MK13 7LE,S,N,F,53,,ARNCLIFFE DRIVE,HEELANDS,MILTON KEYNES,MILTON KEYNES,MILTON KEYNES,A,A
24113046,{80E1AA97-BA80-7BF8-E053-6C04A8C00BF2},740000,2019-01-11 00:00,SL9 9LB,D,N,F,NORTON HOUSE,,GROVE LANE,CHALFONT ST PETER,GERRARDS CROSS,CHILTERN,BUCKINGHAMSHIRE,A,A
24113047,{80E1AA97-BA81-7BF8-E053-6C04A8C00BF2},290000,2019-01-25 00:00,HP23 4NH,S,N,F,11,,LUKES LEA,MARSWORTH,TRING,AYLESBURY VALE,BUCKINGHAMSHIRE,A,A
24113048,{80E1AA98-1103-7BF8-E053-6C04A8C00BF2},118000,2019-01-04 00:00,M7 4YT,S,N,L,22,,BROMSHILL DRIVE,,SALFORD,MANCHESTER,GREATER MANCHESTER,A,A
24113049,{80E1AA98-110B-7BF8-E053-6C04A8C00BF2},111000,2019-01-11 00:00,M18 7PS,S,N,F,57,,DARRAS ROAD,,MANCHESTER,MANCHESTER,GREATER MANCHESTER,A,A
24113050,{80E1AA98-110C-7BF8-E053-6C04A8C00BF2},96000,2019-01-25 00:00,M26 1EX,T,N,F,23,,SCOTT STREET,RADCLIFFE,MANCHESTER,BOLTON,GREATER MANCHESTER,A,A
24113051,{80E1AA98-1117-7BF8-E053-6C04A8C00BF2},177500,2019-01-11 00:00,BL7 9DW,F,N,L,BROOK MILL,312,THREADFOLD WAY,,BOLTON,BOLTON,GREATER MANCHESTER,A,A
24113052,{80E1AA98-1119-7BF8-E053-6C04A8C00BF2},169950,2019-01-02 00:00,M4 5BS,F,N,L,M M2 APARTMENTS,FLAT 37,PICKFORD STREET,,MANCHESTER,MANCHESTER,GREATER MANCHESTER,A,A
24113053,{80E1AA98-111C-7BF8-E053-6C04A8C00BF2},185000,2019-01-11 00:00,WN3 6BW,S,N,L,25,,FOUNDRY LANE,,WIGAN,WIGAN,GREATER MANCHESTER,A,A
24113054,{80E1AA98-1122-7BF8-E053-6C04A8C00BF2},287000,2019-01-14 00:00,M21 7BD,D,N,L,103,,CHELSFIELD GROVE,,MANCHESTER,MANCHESTER,GREATER MANCHESTER,A,A
24113055,{80E1AA98-1126-7BF8-E053-6C04A8C00BF2},75000,2019-01-21 00:00,BL9 7EG,S,N,L,28,,JAMES STREET,,BURY,BURY,GREATER MANCHESTER,A,A
24113056,{80E1AA98-1128-7BF8-E053-6C04A8C00BF2},112500,2019-01-02 00:00,SK14 8LS,F,N,L,ALBION MILL,31,WEDNESHOUGH GREEN,HOLLINGWORTH,HYDE,TAMESIDE,GREATER MANCHESTER,A,A
24113057,{80E1AA98-1129-7BF8-E053-6C04A8C00BF2},125000,2019-01-18 00:00,SK16 4BJ,T,N,F,1,,ARMADALE ROAD,,DUKINFIELD,TAMESIDE,GREATER MANCHESTER,A,A
24113058,{80E1AA98-112B-7BF8-E053-6C04A8C00BF2},395000,2019-01-14 00:00,WA14 3NH,F,N,L,"ASHLEY BANK, 285",FLAT 1,ASHLEY ROAD,HALE,ALTRINCHAM,TRAFFORD,GREATER MANCHESTER,A,A
24113059,{80E1AA98-112F-7BF8-E053-6C04A8C00BF2},380000,2019-01-16 00:00,M45 7GL,D,N,L,51,,HILLINGDON ROAD,WHITEFIELD,MANCHESTER,BURY,GREATER MANCHESTER,A,A
24113060,{80E1AA98-1135-7BF8-E053-6C04A8C00BF2},75000,2019-01-09 00:00,BL9 9GB,F,N,L,20,,REDMERE DRIVE,,BURY,BURY,GREATER MANCHESTER,A,A
24113061,{80E1AA98-1136-7BF8-E053-6C04A8C00BF2},71000,2019-01-14 00:00,BL1 3RH,T,N,F,31,,NOTTINGHAM DRIVE,,BOLTON,BOLTON,GREATER MANCHESTER,A,A
24113062,{80E1AA98-113B-7BF8-E053-6C04A8C00BF2},125000,2019-01-23 00:00,SK7 4HW,T,N,F,40,,CHAPEL STREET,HAZEL GROVE,STOCKPORT,STOCKPORT,GREATER MANCHESTER,A,A
24113063,{80E1AA98-113D-7BF8-E053-6C04A8C00BF2},78000,2019-01-21 00:00,M27 8AB,F,N,L,2,,DENNING PLACE,CLIFTON,MANCHESTER,SALFORD,GREATER MANCHESTER,A,A
